iter	RMSE
0	0.984766869
1	0.9759644259
2	0.9678626252
3	0.9571795205
4	0.9478267483
5	0.9390037694
6	0.9325270474
7	0.9254006511
8	0.9173976731
9	0.9096696824
10	0.9028118293
11	0.8953535302
12	0.8869136463
13	0.8797385046
14	0.8711552346
15	0.864443477
16	0.8577659869
17	0.8509054442
18	0.8437708511
19	0.8374310036
20	0.8328174045
21	0.8272519077
22	0.820794398
23	0.814018875
24	0.8075996845
25	0.8030105139
26	0.798422434
27	0.7939752396
28	0.7888174858
29	0.7826472106
30	0.7783860605
31	0.7729978303
32	0.768002069
33	0.7633943447
34	0.7586907321
35	0.7529632392
36	0.7476971072
37	0.7415593969
38	0.7376054068
39	0.7326011747
40	0.7282830614
41	0.7249346218
42	0.7206922371
43	0.7166364799
44	0.7119682988
45	0.7080821798
46	0.7044976172
47	0.7010563289
48	0.6969582931
49	0.6931355216
50	0.6889220366
51	0.6847229038
52	0.6809554728
53	0.6774451536
54	0.6731429761
55	0.6700640224
56	0.6662806689
57	0.6625369019
58	0.6587065073
59	0.6558190491
60	0.6529588124
61	0.6500053445
62	0.6465610962
63	0.6424698815
64	0.6393327998
65	0.6359544323
66	0.6332542467
67	0.6299604455
68	0.6270702492
69	0.6247284986
70	0.6213371592
71	0.6190758622
72	0.6163966665
73	0.6144202732
74	0.6126747561
75	0.6099237253
76	0.6066277495
77	0.603783458
78	0.6010827441
79	0.5992245928
80	0.5967425749
81	0.5945788505
82	0.5918610563
83	0.5895177101
84	0.5874632836
85	0.5853434529
86	0.5830746455
87	0.5807449151
88	0.5789824137
89	0.5771835921
90	0.5757722508
91	0.5736510826
92	0.5724609807
93	0.5706692993
94	0.5681501388
95	0.5666515693
96	0.5647412067
97	0.5633169566
98	0.5622233342
99	0.5600819752
100	0.5576381348
101	0.5560703404
102	0.5542926776
103	0.5524561769
104	0.5510268496
105	0.5497865857
106	0.5476923868
107	0.5469037226
108	0.544706328
109	0.5429252345
110	0.5413734269
111	0.5400699014
112	0.5389432311
113	0.5380466207
114	0.5368140003
115	0.5355602599
116	0.5343947284
117	0.53360211
118	0.5326861098
119	0.5309017719
120	0.5292182482
121	0.5281873006
122	0.5269028465
123	0.5258806718
124	0.5248573066
125	0.5233388644
126	0.5218303513
127	0.5200587107
128	0.5186762478
129	0.5168572373
130	0.5156693882
131	0.5148795124
132	0.5141718618
133	0.513705948
134	0.5122736762
135	0.51123932
136	0.5103685604
137	0.5094456106
138	0.5085020098
139	0.5078358061
140	0.5065763041
141	0.5050864194
142	0.5038939315
143	0.5031118845
144	0.5014385774
145	0.5006563896
146	0.4998711828
147	0.4991856859
148	0.4981729568
149	0.4974136691
150	0.4960940822
151	0.4948968704
152	0.4939320417
153	0.4929215404
154	0.4916305498
155	0.4910012547
156	0.4894774705
157	0.4886564389
158	0.4881238115
159	0.4874547896
160	0.486504262
161	0.4854193895
162	0.48414209
163	0.4837300335
164	0.4828287389
165	0.4818310896
166	0.4812252139
167	0.4806145669
168	0.4802854996
169	0.4793587346
170	0.4787840887
171	0.4775160039
172	0.4765470465
173	0.4757808981
174	0.4753234263
175	0.4750823237
176	0.4745141385
177	0.4733100614
178	0.4719888491
179	0.4709045104
180	0.4697203182
181	0.4683152644
182	0.4668793585
183	0.4663954438
184	0.4655755912
185	0.4650538228
186	0.464415168
187	0.4632091182
188	0.4625493364
189	0.4621495486
190	0.4611594693
191	0.4605524539
192	0.4602485741
193	0.4584267322
194	0.457212666
195	0.4563768903
196	0.4554914536
197	0.4551690412
198	0.4542798796
199	0.4537156398
200	0.4532525051
201	0.4521936055
202	0.4513234354
203	0.4505170254
204	0.4489345339
205	0.4484259839
206	0.4478301587
207	0.4467574565
208	0.4463722108
209	0.4456110819
210	0.4449963391
211	0.4442542392
212	0.4435971351
213	0.4432695691
214	0.4423431491
215	0.4417401503
216	0.4408129189
217	0.4392917153
218	0.4385894147
219	0.4371164526
220	0.4360239667
221	0.435616028
222	0.4352984961
223	0.4348623826
224	0.4343825713
225	0.4338847683
226	0.4329513973
227	0.4325006262
228	0.4321030096
229	0.4318684037
230	0.4313760045
231	0.4306980101
232	0.4296801661
233	0.4292931571
234	0.4280044578
235	0.4276238411
236	0.4272351757
237	0.4267885569
238	0.4253633176
239	0.4246085817
240	0.42430396
241	0.4236357963
242	0.4231708215
243	0.4225146499
244	0.4218533773
245	0.4214350592
246	0.4209090402
247	0.4205902029
248	0.4194787689
249	0.4182506926
250	0.4175003854
251	0.4169294296
252	0.4167829553
253	0.4164783671
254	0.4162934774
255	0.4158003324
256	0.4156220671
257	0.4152581221
