iter	Passed	Remaining
0	0	847
1	1	739
2	2	727
3	2	673
4	3	666
5	3	644
6	4	612
7	4	596
8	5	586
9	5	576
10	6	585
11	6	571
12	7	577
13	8	573
14	8	566
15	9	561
16	9	560
17	10	554
18	10	552
19	11	546
20	11	549
21	12	548
22	12	545
23	13	542
24	13	544
25	14	538
26	14	533
27	15	531
28	15	530
29	16	529
30	16	524
31	17	523
32	17	521
33	18	520
34	18	518
35	19	515
36	19	514
37	20	515
38	20	514
39	21	512
40	21	511
41	22	507
42	22	506
43	23	504
44	23	503
45	24	502
46	24	498
47	25	497
48	25	497
49	26	494
50	26	494
51	27	494
52	27	493
53	28	491
54	28	492
55	29	492
56	29	491
57	30	490
58	30	490
59	31	489
60	31	488
61	32	487
62	32	486
63	33	485
64	33	483
65	34	483
66	34	483
67	35	481
68	35	480
69	36	479
70	36	479
71	37	479
72	37	479
73	38	478
74	38	475
75	39	476
76	39	477
77	40	478
78	41	479
79	41	477
80	42	478
81	42	478
82	43	477
83	43	476
84	44	475
85	44	475
86	45	474
87	45	474
88	46	474
89	46	473
90	47	473
91	47	472
92	48	471
93	48	470
94	49	470
95	50	473
96	51	479
97	52	485
98	53	491
99	54	493
100	55	494
101	56	495
102	57	497
103	57	499
104	58	501
105	59	503
106	60	503
107	60	501
108	61	501
109	61	501
110	62	499
111	62	498
112	63	497
113	63	495
114	64	494
115	64	494
116	65	494
117	66	496
118	67	496
119	68	498
120	68	497
121	69	496
122	69	496
123	70	495
124	70	494
125	71	492
126	71	491
127	71	490
128	72	489
129	72	487
130	73	486
131	73	485
132	74	483
133	74	480
134	74	478
135	75	477
136	75	477
137	76	476
138	76	475
139	77	474
140	77	473
141	78	473
142	78	472
143	79	470
144	79	469
145	80	468
146	80	467
147	80	466
148	81	465
149	81	464
150	82	463
151	82	462
152	83	461
153	83	460
154	84	459
155	84	458
156	85	457
157	85	456
158	86	455
159	86	454
160	86	453
161	87	452
162	87	451
163	88	449
164	88	448
165	89	448
166	89	447
167	90	447
168	90	446
169	91	445
170	91	445
171	92	445
172	92	444
173	93	443
174	93	442
175	94	440
176	94	440
177	95	439
178	95	438
179	96	437
180	96	437
181	97	436
182	97	435
183	97	434
184	98	433
185	98	432
186	99	431
187	99	430
188	100	429
189	100	428
190	101	428
191	101	427
192	102	426
193	102	426
194	103	425
195	103	425
196	104	424
197	104	424
198	105	423
199	105	422
200	106	421
201	106	421
202	107	420
203	107	419
204	107	418
205	108	417
206	108	417
207	109	416
208	109	415
209	110	414
210	110	414
211	111	413
212	111	412
213	112	412
214	112	411
215	113	410
216	113	409
217	114	409
218	114	408
219	114	407
220	115	406
221	115	405
222	116	405
223	116	404
224	117	403
225	117	403
226	118	402
227	118	401
228	119	402
229	120	403
230	120	402
231	121	402
232	121	401
233	122	400
234	122	399
235	123	399
236	123	398
237	124	397
238	124	397
239	125	396
240	125	395
241	126	394
242	126	394
243	127	393
244	127	392
245	128	392
246	128	391
247	129	391
248	129	390
249	129	389
250	130	389
251	130	388
252	131	387
253	131	387
254	132	387
255	133	386
256	133	386
257	134	385
258	134	384
259	135	384
260	135	383
261	135	382
262	136	382
263	137	382
264	137	381
265	137	380
266	138	380
267	138	379
268	139	378
269	139	377
270	140	377
271	140	376
272	141	375
273	141	375
274	142	374
275	142	373
276	142	373
277	143	372
278	143	371
279	144	371
280	145	371
281	145	371
282	146	370
283	146	369
284	147	369
285	147	368
286	148	368
287	148	367
288	149	367
289	149	366
290	150	366
291	150	365
292	151	365
293	151	364
294	152	364
295	152	363
296	153	363
297	153	362
298	154	362
299	154	361
300	155	361
301	155	360
302	156	359
303	156	359
304	157	358
305	157	358
306	158	357
307	159	357
308	159	356
309	160	356
310	160	355
311	161	355
312	161	354
313	162	354
314	162	353
315	163	353
316	163	352
317	164	352
318	164	351
319	165	351
320	165	351
321	166	350
322	166	349
323	167	349
324	167	348
325	168	348
326	168	347
327	169	347
328	170	347
329	170	346
330	171	346
331	171	345
332	172	345
333	172	344
334	173	344
335	174	343
336	174	343
337	175	342
338	175	342
339	176	342
340	176	341
341	177	340
342	177	340
343	178	339
344	178	339
345	179	338
346	179	338
347	180	337
348	180	337
349	181	336
350	182	336
351	182	336
352	183	335
353	183	335
354	184	335
355	184	334
356	185	333
357	185	333
358	186	332
359	186	332
360	187	331
361	187	331
362	188	330
363	188	330
364	189	329
365	190	329
366	190	328
367	191	328
368	191	327
369	192	327
370	192	326
371	193	326
372	193	325
373	194	325
374	195	325
375	196	325
376	196	325
377	197	324
378	197	324
379	198	323
380	198	323
381	199	322
382	200	322
383	200	321
384	201	321
385	201	320
386	202	320
387	202	319
388	203	319
389	203	318
390	204	318
391	204	317
392	205	317
393	205	316
394	206	315
395	206	315
396	207	314
397	207	314
398	208	314
399	209	313
400	209	313
401	210	312
402	210	312
403	211	311
404	211	311
405	212	310
406	212	309
407	213	309
408	213	308
409	214	308
410	214	307
411	215	307
412	215	306
413	216	305
414	216	305
415	217	305
416	217	304
417	218	304
418	218	303
419	219	302
420	219	302
421	220	301
422	220	301
423	221	300
424	222	300
425	222	299
426	223	299
427	223	298
428	224	298
429	224	297
430	225	297
431	225	296
432	226	296
433	226	295
434	227	295
435	227	294
436	228	294
437	228	293
438	229	292
439	229	292
440	230	291
441	230	291
442	231	290
443	231	290
444	232	289
445	232	289
446	233	288
447	233	288
448	234	287
449	235	287
450	235	286
451	236	286
452	236	285
453	237	285
454	237	284
455	238	283
456	238	283
457	239	282
458	239	282
459	240	281
460	240	281
461	241	280
462	241	280
463	242	279
464	242	279
465	243	278
466	244	278
467	244	278
468	245	277
469	245	277
470	246	276
471	246	275
472	247	275
473	247	274
474	248	274
475	248	273
476	249	273
477	249	272
478	250	272
479	250	271
480	251	271
481	251	270
482	252	270
483	252	269
484	253	269
485	253	268
486	254	268
487	254	267
488	255	266
489	255	266
490	256	266
491	258	266
492	259	266
493	260	266
494	260	266
495	261	266
496	262	265
497	263	265
498	263	265
499	264	264
500	265	264
501	266	263
502	266	263
503	267	262
504	267	262
505	268	261
506	268	261
507	269	260
508	269	260
509	270	259
510	270	258
511	271	258
512	271	257
513	272	257
514	272	256
515	273	256
516	273	255
517	274	255
518	275	255
519	275	254
520	276	254
521	277	253
522	277	253
523	278	252
524	278	252
525	279	251
526	279	250
527	280	250
528	280	249
529	281	249
530	281	248
531	282	248
532	282	247
533	283	247
534	283	246
535	284	245
536	284	245
537	285	244
538	285	244
539	286	243
540	287	243
541	287	242
542	288	242
543	288	241
544	289	241
545	289	240
546	290	240
547	290	239
548	291	239
549	292	239
550	292	238
551	293	238
552	294	237
553	294	237
554	295	236
555	295	236
556	296	235
557	297	235
558	297	234
559	298	234
560	298	233
561	299	233
562	300	232
563	300	232
564	301	231
565	301	231
566	302	231
567	303	230
568	303	230
569	304	229
570	304	229
571	305	228
572	306	228
573	306	227
574	307	227
575	307	226
